conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/1a87e487-6761-4374-b6db-100ac5a9ad5a,3312,credit adviser,"credit advisors
credit counselors
certified credit counselor
certified credit counselors
credit analysts
credit intermediary
credit counsellors
credit intermediaries
debt counselors
debt counsellor
certified credit counsellors
debt counsellors
credit counselor","Credit advisers offer guidance to customers related to credit services. They assess the customer's financial situation and debt issues arisen from credit cards, medical bills and car loans in order to identify optimal credit solutions for customers and also provide debt elimination plans to adjust their finances if needed. They prepare qualitative credit analyses and decision-making material in respect of defined customers in conformity with the bank's strategy on credit policy, ensure the credit quality and follow up on the performance of the credit portfolio. Credit advisers also have expertise in debt management and credit consolidation."
Occupation,http://data.europa.eu/esco/occupation/1a8bda86-307e-4cc0-a945-ceb678ff1471,9112,toilet attendant,"rest room cleaner
powder room attendant
lavatory attendant
restroom cleaner
washroom attendant
restroom attendant","Toilet attendants clean and maintain toilet facilities in accordance with company standards and policies. They use cleaning equipment to clean mirrors, floors, toilets and sinks. They perform the cleaning activities before, during and after operational service hours. Toilet attendants refill the facility with supplies as needed and maintain records of their daily operations."
Occupation,http://data.europa.eu/esco/occupation/1a953e5a-f53f-461d-818b-6b2e655a751f,7311,watch and clock repairer,"watch and clock fixer
watch and clock repairman
chronometrist
time piece fixer
watch and clock restorer","Watch and clock repairers maintain and repair wristwatches and clocks. They identify defects, change batteries, fit new straps, oil and replace damaged parts. They may also restore antique clocks."
Occupation,http://data.europa.eu/esco/occupation/1a9d99ba-4c08-4864-8f6a-1b0f2b4cf883,6113,horticulture worker,"berry picker
flower picker
farm hands
fruit picker
horticultural farm worker
crop worker
horticultural worker",Horticulture workers carry out practical activities and assist in nurseries or greenhouses for the production of horticultural crops.
Occupation,http://data.europa.eu/esco/occupation/1aa4bb15-c527-4a3b-9270-b3c71c4be111,3435,stage manager,"production stage manager
deputy stage manager
stage/production manager
production coordinator
production coordinator/stage manager
stage coordinator
stage supervisor","Stage managers coordinate and supervise the preparation and execution of the show to ensure the scenic image and the actions on stage comply with the artistic vision of the director and the artistic team. 
Identify needs, monitor the technical and artistic processes during rehearsals and performances of live shows and events, according to the artistic project, the characteristics of the stage and technical, economic, human and security terms. 
 
 
 "
Occupation,http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419,7512,baker,"bakery specialist
bakery employee
bread baker"," Bakers make a wide range of breads, pastries, and other baked goods. They follow all the processes from receipt and storage of raw materials, preparation of raw materials for bread-making, measurement and mixing of ingredients into dough and proof. They tend ovens to bake products to an adequate temperature and time. 
"
Occupation,http://data.europa.eu/esco/occupation/1ab184b6-de00-4476-ba1d-c6a71c668be3,3132,water treatment systems operator,"water quality tester
water safety tester
water treatment system worker
water treatment operator
water quality operative
water treatment system operative
water safety operative
drinking water treatment system worker
water treatment plant operative
drinking water treatment system operator
drinking water treatment system operative
water system operator
water treatment plant worker","Water treatment system operators treat water to ensure safety for drinking, irrigation, or other use. They operate and maintain water treatment equipment and ensure the water is safe for bottling and use in food production by thoroughly testing before distribution, and by meeting environmental standards."
Occupation,http://data.europa.eu/esco/occupation/1ad4012e-30e3-492c-b42c-09cff3047574,2330,science teacher secondary school,"high school science teacher
teacher of science in secondary schools
science tutor secondary school
secondary school teacher of science
secondary school science tutor
teacher of science in high school
science teacher","Science teachers at secondary schools provide education to students, commonly children and young adults, in a secondary school setting. They are usually subject teachers, specialised and instructing in their own field of study, science. They prepare lesson plans and materials, monitor the studentsâ progress, assist individually when necessary, and evaluate the studentsâ knowledge and performance on the subject of science through assignments, tests and examinations."
Occupation,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,2411,financial auditor,"internal auditor
external auditors
bank examiners
internal auditors
auditors
bank auditor
auditor
internal examiner
finance auditor
audit manager
finances auditor
senior internal auditor
chartered accountant
financial examiner
external auditor
bank examiner
external examiner
financial systems analyst","Financial auditors collect and examine financial data for clients, organisations and companies. They ensure the financial data is properly maintained and free of material misstatements due to error or fraud, that it adds up, and functions legally and effectively. They review lending and credit policies or numbers in databases and documents, evaluate, consult and assist the source of the transaction if necessary. They use their review of the client's financial governance as assurance to give testimony to the shareholders, stakeholders and board of directors of the organisation or company that all is up to par."
Occupation,http://data.europa.eu/esco/occupation/1ae8d28e-407c-48ab-88ff-4cb25bfcdea6,4229,hotel concierge,"hotel concierge
concierge
guest services manager
guest concierge
guest assistance manager","Hotel concierges provide information to customers, assist guests with various tasks such as making restaurant reservations, recommending entertainment highlights, booking transportation (limousines, airplanes, boats, etc.) and other services, procurement of tickets to special events, and assisting with various travel arrangements and tours of local attractions."
Occupation,http://data.europa.eu/esco/occupation/1b123879-8f0d-4793-8069-3dc21a08921a,2113,chemical application specialist,"chemical application technician
technical application specialist chemist
formulation development engineer
application specialist chemist
product formulation chemist
specialist chemist
product development chemist
development chemist
chemical product application specialist",Chemical application specialists develop chemical products according to the needs and expectation of the clients. They conduct development of formulas and processes of formulation as well as evaluation of the efficiency and performances of the formulations.
Occupation,http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79,3332,event manager,"event and project manager
project & event manager
event organizer
event & project manager
live event producer
live event manager
project and event manager
live event organiser
live event organizer
conference and event planner
event organiser","Event managers plan and oversee events such as festivals, conferences, ceremonies, cultural events, exhibitions, formal parties, concerts, or conventions.\
They organise every stage of the events planning the venues, staff, suppliers, media, insurances all within the allocated budgetary and time limits. Event managers ensure the legal obligations are followed and the expectations of the target audience are met.  They work together with the marketing team in promoting the event,  searching new clients and gathering constructive feedback after the events took place."
Occupation,http://data.europa.eu/esco/occupation/1b3e150f-8ec1-47e2-a2ef-d02632efe0d5,1420,medical goods shop manager,"retail chemist shop manager
medical supplies shop manager
staff manager in medical goods shop
drugstore manager
chemist shop manager
pharmacy manager
medical supply store manager
medical equipment suppliers manager","Medical goods shop managers are responsible for activities and staff in specialised shops. ​They manage employees, monitor the sales of the store, manage budgets and order supplies when a product is out of supply and perform administrative duties if required."
Occupation,http://data.europa.eu/esco/occupation/1b422c31-f242-46b5-bbdc-aa63885e4b5c,3257,transport health and safety inspector,"transportation safety manager
road transportation health and safety director
road occupational health and safety manager
road health and safety risk assessor
road transport health and safety manager","Transport health and safety inspectors are responsible for maintaining safety standards, reducing risk to company, staff and customers and achieving industry standards. They evaluate existing security systems to determine potential risks in all transport sectors such as road and sea transport, and develop policies and procedures that minimise the risk to properties, employees and computer systems."
